Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
Bill Burr: I'm Sorry You Feel That Way,8.4,1,0,0,0,Comedy,80
Starred Up,7.4,1,0,1,0,Crime;Drama,106
Mudbound,7.4,1,0,0,0,Drama;War,134
Austin Powers: International Man of Mystery,7,1,0,0,0,Adventure;Comedy,94
Blue Ruin,7.1,1,0,0,0,Crime;Drama;Thriller,90
The Patriot,7.2,1,1,0,0,Action;Drama;History;War,165
Babel,7.4,1,0,0,0,Drama,143
The Square,8.1,1,1,1,0,Comedy;Drama,151
Gerald's Game,6.6,1,0,0,0,Drama;Horror;Thriller,103
Miracle,7.5,1,0,0,1,Biography;Drama;History;Sport,135
Swades,8.2,1,0,0,0,Drama,210
Tinker Tailor Soldier Spy,7.1,1,0,0,0,Drama;Mystery;Thriller,122
The Witch,6.9,1,0,0,0,Drama;Horror;Mystery,92
Haider,8.1,1,0,0,0,Action;Crime;Drama;Thriller,160
Padman,7.9,1,0,0,0,Comedy;Drama,140
Hush,6.6,1,0,0,0,Horror;Thriller,82
Elizabeth,7.4,1,0,0,0,Biography;Drama;History,124
Miss Americana,7.4,1,0,0,0,Documentary,85
Christopher Robin,7.3,1,0,0,0,Comedy;Drama;Family;Fantasy,104
I Lost My Body,7.6,1,0,0,0,Animation;Drama;Fantasy;Romance,81
I Am Mother,6.7,1,0,0,0,Drama;Mystery;Sci-Fi;Thriller,113
Lupin the Third: The Castle of Cagliostro,7.7,1,0,0,0,Animation;Adventure;Family;Fantasy,100
The Autopsy of Jane Doe,6.8,1,0,0,0,Horror;Mystery;Thriller,86
Virunga,8.2,1,0,0,0,Documentary;War,100
Freedom Writers,7.5,1,0,1,0,Biography;Crime;Drama,123
The Master,7.2,1,0,0,0,Drama,138
A Serious Man,7,1,0,0,0,Comedy;Drama,106
The King,7.2,1,0,0,0,Biography;Drama;History;Romance;War,140
The Breadwinner,7.7,1,0,0,0,Animation;Drama;Family;War,94
The Boy Who Harnessed the Wind,7.6,1,0,1,0,Drama,113
Article 15,8.3,1,0,0,0,Crime;Drama;Mystery,130
The Killing of a Sacred Deer,7,1,0,0,0,Drama;Horror;Mystery;Thriller,121
Lawless,7.3,1,0,0,0,Crime;Drama,116
